Sequence_1,Sequence_2,Sequence_3,Sequence_4,Sequence_5,Sequence_6,Sequence_7,Sequence_8,Sequence_9,Sequence_10,Sequence_11,Sequence_12,Sequence_13,Sequence_14,Sequence_15,Sequence_16,Sequence_17,Sequence_18,Sequence_19,Sequence_20,Sequence_21,Sequence_22,Sequence_23,Sequence_24
"Seq_AALScout","Seq_petra","Seq_gre","Seq_tfl","Seq_AALScout","Seq_AALScout","Seq_gre","Seq_AALScout","Seq_petra","Seq_AALScout","Seq_gre","Seq_AALScout","Seq_AALScout","Seq_AALScout","Seq_gre","Seq_gre","Seq_AALScout","Seq_AALScout","Seq_tse_dixon","Seq_AALScout","Seq_gre","Seq_AALScout","Seq_tfl_b1map","Seq_AALScout"
"Seq_tse","","Seq_fl_pc","","Seq_fl_pc","Seq_fl_pc","Seq_resolve","Seq_tse","","Seq_petra","Seq_resolve","Seq_tse","Seq_tse","Seq_BEAT","Seq_petra","Seq_tse","Seq_tse","Seq_tse","","Seq_tse","Seq_fl_pc","Seq_gre","","Seq_resolve"
"Seq_tse","","Seq_tse","","Seq_tse","Seq_tse","Seq_gre","Seq_tse","","Seq_tse","Seq_resolve","Seq_tse","Seq_tse","Seq_tse","Seq_tse","Seq_tse","Seq_tse","Seq_space","","Seq_tse_dixon","Seq_tse","Seq_tse","","Seq_petra"
"Seq_tse","","Seq_tse","","Seq_tse","Seq_tse","","Seq_tse_dixon","","Seq_resolve","Seq_gre","Seq_tse","Seq_petra","Seq_tse","Seq_tse","Seq_tse","Seq_tse","Seq_tse","","Seq_tse","Seq_tse_dixon","Seq_fl_pc","","Seq_petra"
"Seq_resolve","","Seq_resolve","","Seq_tse","Seq_resolve","","Seq_tse","","Seq_petra","Seq_gre","Seq_gre","Seq_petra","Seq_petra","Seq_tse","Seq_petra","Seq_gre_wave","Seq_tse","","Seq_tse","Seq_gre","Seq_tse","","Seq_resolve"
"Seq_tse","","Seq_tse","","Seq_gre","Seq_ep2d_diff","","Seq_gre_wave","","Seq_gre","","Seq_gre_wave","Seq_BEAT","Seq_gre","Seq_ep2d_diff","Seq_tse","Seq_tse","Seq_gre","","Seq_gre_wave","Seq_BEAT","Seq_tse","","Seq_tse"
"Seq_tse_dixon","","Seq_twist","","Seq_fl3d_ce","Seq_tse_dixon","","Seq_tse","","","","Seq_tse","Seq_fl3d_ce","Seq_twist","Seq_fl3d_ce","Seq_tse","Seq_tse","Seq_tse_dixon","","Seq_tfl_b1map","Seq_fl3d_ce","Seq_gre","","Seq_tse"
"Seq_tfl","","","","Seq_fl3d_ce","Seq_tse","","Seq_AALScout","","","","Seq_tse","","","Seq_tse","Seq_tse","Seq_tse","Seq_fl3d_ce","","Seq_fl3d_ce","","Seq_space","",""
"Seq_fl3d_ce","","","","Seq_tse","Seq_tse","","Seq_fl_pc","","","","Seq_fl3d_ce","","","Seq_fl3d_ce","Seq_tse","Seq_tse","Seq_tse","","Seq_tse","","Seq_tse","",""
"","","","","","Seq_BEAT","","","","","","Seq_BEAT","","","Seq_fl3d_ce","Seq_fl3d_ce","Seq_fl3d_ce","Seq_tfl_b1map","","Seq_BEAT","","Seq_BEAT","",""
"","","","","","","","","","","","","","","Seq_se_17rb130","Seq_tfl","Seq_fl3d_ce","","","Seq_petra","","Seq_BEAT","",""
"","","","","","","","","","","","","","","","Seq_tse","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
