Sequence_34   ,Sequence_35 ,Sequence_36  ,Sequence_37  ,Sequence_38    ,Sequence_39   ,Sequence_40   ,Sequence_41  ,Sequence_42 ,Sequence_43   ,Sequence_44  ,Sequence_45  ,Sequence_46  ,Sequence_47   ,Sequence_48  ,Sequence_49    ,Sequence_50  ,Sequence_51  ,Sequence_52 ,Sequence_53 ,Sequence_54  ,Sequence_55    ,Sequence_56   ,Sequence_57  ,Sequence_58   ,Sequence_59   ,Sequence_60 ,Sequence_61   ,Sequence_62
Seq_gre       ,Seq_gre     ,Seq_AALScout ,Seq_AALScout ,Seq_AALScout   ,Seq_AALScout  ,Seq_AALScout  ,Seq_AALScout ,Seq_gre     ,Seq_gre       ,Seq_AALScout ,Seq_AALScout ,Seq_AALScout ,Seq_AALScout  ,Seq_AALScout ,Seq_AALScout   ,Seq_AALScout ,Seq_AALScout ,Seq_gre     ,Seq_tse     ,Seq_AALScout ,Seq_AALScout   ,Seq_AALScout  ,Seq_AALScout ,Seq_AALScout  ,Seq_AALScout  ,Seq_gre     ,Seq_gre       ,Seq_gre
Seq_tse       ,Seq_BEAT    ,Seq_BEAT     ,Seq_tse      ,Seq_fl_pc      ,Seq_tse       ,Seq_fl_pc     ,Seq_tse      ,Seq_BEAT    ,Seq_tse_dixon ,Seq_tse      ,Seq_tse      ,Seq_BEAT     ,Seq_tse       ,Seq_BEAT     ,Seq_fl_pc      ,Seq_tse      ,Seq_tse      ,Seq_BEAT    ,            ,Seq_tse      ,Seq_tse        ,Seq_tse       ,Seq_tse      ,Seq_tse       ,Seq_tse       ,Seq_BEAT    ,Seq_tse       ,Seq_tse
Seq_tse       ,Seq_tse     ,Seq_tse      ,Seq_tse      ,Seq_tse        ,Seq_tse       ,Seq_tse       ,Seq_fl_pc    ,Seq_tse     ,Seq_tse       ,Seq_tse      ,Seq_tse      ,Seq_tse      ,Seq_fl_pc     ,Seq_tse      ,Seq_tse        ,Seq_tse      ,Seq_tse      ,Seq_tse     ,            ,Seq_tse      ,Seq_tse        ,Seq_tse       ,Seq_tse      ,Seq_tse       ,Seq_fl_pc     ,Seq_tse     ,Seq_tse       ,Seq_tse
Seq_tse       ,Seq_tse     ,Seq_tse      ,Seq_tse      ,Seq_tse        ,Seq_tse       ,Seq_tse       ,Seq_space    ,Seq_tse     ,Seq_tse_dixon ,Seq_tse      ,Seq_tse      ,Seq_tse      ,Seq_space     ,Seq_tse      ,Seq_tse        ,Seq_tse      ,Seq_tse      ,Seq_tse     ,            ,Seq_tse      ,Seq_tse        ,Seq_tse       ,Seq_tse      ,Seq_tse       ,Seq_space     ,Seq_tse     ,Seq_tse       ,Seq_tse
Seq_space     ,Seq_tse     ,Seq_tse      ,Seq_tse      ,Seq_tse        ,Seq_resolve   ,Seq_tse       ,Seq_BEAT     ,Seq_tse     ,Seq_tse       ,Seq_tse      ,Seq_tse      ,Seq_tse      ,Seq_BEAT      ,Seq_tse      ,Seq_tse        ,Seq_tse      ,Seq_tse      ,Seq_tse     ,            ,Seq_tse      ,Seq_BEAT       ,Seq_tse       ,Seq_tse      ,Seq_tse       ,Seq_BEAT      ,Seq_tse     ,Seq_space     ,Seq_space
Seq_space     ,Seq_tse     ,Seq_gre      ,Seq_tse      ,Seq_tse        ,Seq_gre       ,Seq_tse       ,Seq_space    ,Seq_tse     ,Seq_tse       ,Seq_tse      ,Seq_gre_wave ,Seq_tse      ,Seq_space     ,Seq_gre      ,Seq_gre        ,Seq_tse      ,Seq_gre      ,Seq_tse     ,            ,Seq_tse      ,Seq_gre        ,Seq_space     ,Seq_space    ,Seq_tse       ,Seq_space     ,Seq_tse     ,Seq_space     ,Seq_tse
Seq_space     ,Seq_tse     ,Seq_tse      ,Seq_tse      ,Seq_tse        ,Seq_tse_dixon ,Seq_BEAT      ,Seq_tse      ,Seq_tse     ,Seq_tse       ,Seq_tse      ,Seq_tse      ,Seq_tse      ,Seq_tse_dixon ,Seq_tse      ,Seq_tse        ,Seq_tse      ,Seq_tse      ,Seq_tse     ,            ,Seq_tse      ,Seq_tse_dixon  ,Seq_tse_dixon ,Seq_tse      ,Seq_tse       ,Seq_fl_pc     ,Seq_tse     ,Seq_space     ,Seq_space
Seq_space     ,Seq_tse     ,Seq_BEAT     ,Seq_tse      ,Seq_tse        ,Seq_space     ,Seq_tse       ,Seq_tse      ,Seq_tse     ,              ,Seq_tse      ,             ,Seq_BEAT     ,Seq_tse       ,Seq_tse      ,Seq_tse        ,Seq_tse      ,Seq_tse      ,Seq_tse     ,            ,Seq_tse      ,Seq_tse        ,Seq_tse       ,Seq_tse      ,Seq_tse       ,Seq_space     ,Seq_tse     ,Seq_space     ,Seq_space
Seq_tfl       ,            ,             ,Seq_tse      ,Seq_tse        ,Seq_tfl       ,Seq_tse       ,Seq_tse      ,            ,              ,Seq_tse      ,             ,Seq_tse      ,Seq_tse       ,Seq_tse      ,Seq_tse        ,Seq_tse      ,Seq_tse      ,Seq_tse     ,            ,Seq_tse      ,Seq_tfl        ,Seq_tse       ,Seq_tse      ,Seq_tse       ,Seq_tse_dixon ,            ,Seq_tfl       ,Seq_tfl
Seq_tfl_b1map ,            ,             ,             ,Seq_tse        ,Seq_tfl_b1map ,Seq_fl3d_ce   ,             ,            ,              ,             ,             ,             ,              ,             ,Seq_tse        ,Seq_tse      ,             ,            ,            ,Seq_tse      ,Seq_tfl_b1map  ,              ,             ,Seq_tse       ,Seq_tse_dixon ,            ,Seq_tfl_b1map ,Seq_tse
Seq_petra     ,            ,             ,             ,Seq_BEAT       ,Seq_petra     ,Seq_fl3d_ce   ,             ,            ,              ,             ,             ,             ,              ,             ,Seq_tse        ,Seq_tse      ,             ,            ,            ,Seq_tse      ,Seq_se_17rb130 ,              ,             ,Seq_BEAT      ,Seq_tse_dixon ,            ,Seq_petra     ,Seq_petra
              ,            ,             ,             ,Seq_tse        ,              ,Seq_tse       ,             ,            ,              ,             ,             ,             ,              ,             ,Seq_tse        ,Seq_tse      ,             ,            ,            ,Seq_tse      ,               ,              ,             ,Seq_tse       ,Seq_tse       ,            ,              ,
              ,            ,             ,             ,Seq_tse        ,              ,Seq_tse       ,             ,            ,              ,             ,             ,             ,              ,             ,Seq_tse        ,Seq_tse      ,             ,            ,            ,Seq_tse      ,               ,              ,             ,Seq_tse       ,Seq_gre       ,            ,              ,
              ,            ,             ,             ,Seq_tgse_asl   ,              ,Seq_fl3d_ce   ,             ,            ,              ,             ,             ,             ,              ,             ,Seq_se_17rb130 ,             ,             ,            ,            ,             ,               ,              ,             ,Seq_fl3d_ce   ,Seq_fl3d_ce   ,            ,              ,
              ,            ,             ,             ,Seq_fl3d_ce    ,              ,Seq_fl3d_ce   ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,Seq_fl3d_ce   ,Seq_fl3d_ce   ,            ,              ,
              ,            ,             ,             ,Seq_tse_dixon  ,              ,Seq_tse       ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,Seq_tse       ,Seq_fl3d_ce   ,            ,              ,
              ,            ,             ,             ,Seq_fl3d_ce    ,              ,Seq_tfl_b1map ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,Seq_tfl_b1map ,Seq_tfl       ,            ,              ,
              ,            ,             ,             ,Seq_tfl_b1map  ,              ,              ,             ,            ,              ,             ,             ,             ,              ,             ,               ,             ,             ,            ,            ,             ,               ,              ,             ,              ,Seq_tse_dixon ,            ,              ,
